date,ivix_50,ivix_1000,spread_1000_50,ratio_1000_50,z_20_spread,z_60_spread,z_60_ivix_1000,d1_ivix_1000,d3_ivix_1000,csi1000_close,signal_panic_reversal,signal_spread_revert,signal_spread_revert_confirmed,regime_state,regime_equity_exposure
2024-02-06,23.5,31.99,8.489999999999998,1.3612765957446809,2.071632290662184,3.568930368353538,3.98540870633537,0.0488524590163934,0.4540909090909091,4592.44,0,0,0,S0,20%
2024-02-07,20.97,36.0,15.03,1.7167381974248928,2.9903727619539078,5.130468700182921,4.28233038267969,0.1253516723976242,0.1999999999999999,4797.85,0,0,0,S0,20%
2024-02-08,20.77,37.44,16.669999999999998,1.80259990370727,2.576087387060547,4.555021022332477,3.932849847698492,0.04,0.2275409836065574,4993.1,0,0,0,S0,20%
2024-02-19,20.93,36.75,15.82,1.7558528428093645,2.00387675373342,3.686540179565881,3.3402023043819544,-0.0184294871794871,0.148796498905908,5029.59,0,0,0,S0,20%
2024-02-20,19.08,30.88,11.8,1.618448637316562,1.1576589509056008,2.396850298306182,2.025362008282076,-0.1597278911564625,-0.1422222222222222,5046.01,1,1,1,S0,20%
2024-02-21,19.45,30.84,11.39,1.5856041131105398,0.9970920288702784,2.155949950690488,1.9188350268024572,-0.0012953367875647,-0.1762820512820512,5073.48,1,1,1,S0,20%
2024-02-22,20.55,31.33,10.779999999999998,1.524574209245742,0.8070685414947552,1.9031514714835196,1.9142756955749465,0.015888456549935,-0.1474829931972789,5151.53,1,1,1,S0,20%
2024-02-23,21.11,31.36,10.25,1.485551871151113,0.6459287489289803,1.6967793055367308,1.8297078694803623,0.0009575486753909,0.0155440414507772,5225.67,0,1,1,S0,20%
2024-02-26,20.45,31.52,11.07,1.541320293398533,0.710891161037442,1.8051649959047584,1.7752238197904109,0.0051020408163264,0.0220492866407262,5255.4,0,0,0,S0,20%
2024-02-27,20.2,29.64,9.44,1.4673267326732673,0.3551138726221776,1.3751510930524724,1.3850417557439432,-0.0596446700507613,-0.0539419087136928,5394.03,0,0,0,S0,20%
2024-02-28,20.67,33.51,12.839999999999996,1.6211901306240926,0.8859784556796179,2.036322048257437,1.96843112654654,0.130566801619433,0.0685586734693877,5152.05,0,0,0,S0,20%
2024-02-29,19.44217792,31.58,12.13782208,1.624303621227225,0.6783470652982707,1.7936418957535591,1.5692886664259844,-0.0575947478364666,0.0019035532994924,5344.61,0,0,0,S0,20%
2024-03-01,18.97,31.62,12.650000000000002,1.6668423827095415,0.7081515639541565,1.814057693590252,1.5149269174225273,0.0012666244458519,0.0668016194331984,5401.94,0,0,0,S0,20%
2024-03-04,19.16,32.84,13.680000000000003,1.7139874739039669,0.8167381859846257,1.9271912088585956,1.649133456547657,0.038583175205566,-0.0199940316323483,5428.34,0,0,0,S0,20%
2024-03-05,18.17,33.03,14.86,1.817831590533847,0.9395329250723432,2.0493047791321946,1.6129930391079863,0.0057856272838001,0.0459151361621279,5375.13,0,0,0,S0,20%
2024-03-06,17.22,31.09,13.87,1.8054587688734032,0.6763991108508287,1.7700551475164992,1.2511466297416236,-0.0587344838026037,-0.0167615433270083,5381.46,0,0,0,S1,50%
2024-03-07,16.7,30.96,14.260000000000002,1.8538922155688624,0.7343884877688965,1.7620977779290827,1.1881390471103654,-0.0041814088131231,-0.0572472594397077,5303.28,0,0,0,S1,50%
2024-03-08,16.26,27.74,11.479999999999997,1.7060270602706025,-0.1472984660787388,1.197757006552456,0.6452126445222008,-0.1040051679586564,-0.1601574326369967,5370.37,0,0,0,S2,80%-100%
2024-03-11,16.42,26.99,10.569999999999997,1.6437271619975635,-0.5849066766254452,0.9947108822207298,0.5026703936186652,-0.0270367700072098,-0.1318752010292698,5466.65,0,0,0,S2,80%-100%
2024-03-12,16.4,26.4,10.0,1.6097560975609757,-1.0537988657751547,0.8602609580340397,0.3867273024466169,-0.0218599481289366,-0.1472868217054264,5496.36,0,0,0,S2,80%-100%
2024-03-13,16.34,26.4,10.06,1.6156670746634023,-1.1215581307621794,0.8424802521559175,0.3661613483092995,0.0,-0.0483056957462149,5521.78,0,0,0,S2,80%-100%
